Location,DataId,Indicator,Value,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,SDRID,RegionId,SurveyType,DenominatorWeighted,DenominatorUnweighted,LevelRank
North Eastern,5385286,Women who can read part of a sentence,1.1,2003,KE2003DHS,ED_LITR_W_RDP,231233030,I,416008,1416020,EDLITRWRDP,KEDHS2003416008,DHS,168,437,1
Eastern,7236896,Women who can read part of a sentence,10.4,2003,KE2003DHS,ED_LITR_W_RDP,231233030,I,416004,1416030,EDLITRWRDP,KEDHS2003416004,DHS,1325,993,1
Central,6493908,Women who can read part of a sentence,7.5,2003,KE2003DHS,ED_LITR_W_RDP,231233030,I,416002,1416040,EDLITRWRDP,KEDHS2003416002,DHS,1181,1314,1
Rift Valley,1451584,Women who can read part of a sentence,8.2,2003,KE2003DHS,ED_LITR_W_RDP,231233030,I,416006,1416050,EDLITRWRDP,KEDHS2003416006,DHS,1872,1328,1
Western,6589890,Women who can read part of a sentence,6.7,2003,KE2003DHS,ED_LITR_W_RDP,231233030,I,416007,1416070,EDLITRWRDP,KEDHS2003416007,DHS,927,991,1
Nyanza,3751930,Women who can read part of a sentence,6,2003,KE2003DHS,ED_LITR_W_RDP,231233030,I,416005,1416080,EDLITRWRDP,KEDHS2003416005,DHS,1222,1025,1
Nairobi,6673350,Women who can read part of a sentence,3.5,2003,KE2003DHS,ED_LITR_W_RDP,231233030,I,416001,1416090,EDLITRWRDP,KEDHS2003416001,DHS,835,1169,1
Coast,4667024,Women who cannot read at all,34.3,2003,KE2003DHS,ED_LITR_W_NRD,231233040,I,416003,1416010,EDLITRWNRD,KEDHS2003416003,DHS,667,938,1
North Eastern,5385279,Women who cannot read at all,93.6,2003,KE2003DHS,ED_LITR_W_NRD,231233040,I,416008,1416020,EDLITRWNRD,KEDHS2003416008,DHS,168,437,1
Eastern,7236890,Women who cannot read at all,17.9,2003,KE2003DHS,ED_LITR_W_NRD,231233040,I,416004,1416030,EDLITRWNRD,KEDHS2003416004,DHS,1325,993,1
Central,6493889,Women who cannot read at all,8.8,2003,KE2003DHS,ED_LITR_W_NRD,231233040,I,416002,1416040,EDLITRWNRD,KEDHS2003416002,DHS,1181,1314,1
Rift Valley,1451581,Women who cannot read at all,26.5,2003,KE2003DHS,ED_LITR_W_NRD,231233040,I,416006,1416050,EDLITRWNRD,KEDHS2003416006,DHS,1872,1328,1
Western,6589861,Women who cannot read at all,22.5,2003,KE2003DHS,ED_LITR_W_NRD,231233040,I,416007,1416070,EDLITRWNRD,KEDHS2003416007,DHS,927,991,1
Nyanza,3751928,Women who cannot read at all,19.7,2003,KE2003DHS,ED_LITR_W_NRD,231233040,I,416005,1416080,EDLITRWNRD,KEDHS2003416005,DHS,1222,1025,1
Nairobi,6673315,Women who cannot read at all,7.8,2003,KE2003DHS,ED_LITR_W_NRD,231233040,I,416001,1416090,EDLITRWNRD,KEDHS2003416001,DHS,835,1169,1
Coast,4667025,Women for whom no card with required language was available,0,2003,KE2003DHS,ED_LITR_W_NCD,231233050,I,416003,1416010,EDLITRWNCD,KEDHS2003416003,DHS,667,938,1
North Eastern,5385282,Women for whom no card with required language was available,0,2003,KE2003DHS,ED_LITR_W_NCD,231233050,I,416008,1416020,EDLITRWNCD,KEDHS2003416008,DHS,168,437,1
Eastern,7236891,Women for whom no card with required language was available,0,2003,KE2003DHS,ED_LITR_W_NCD,231233050,I,416004,1416030,EDLITRWNCD,KEDHS2003416004,DHS,1325,993,1
Central,6493887,Women for whom no card with required language was available,0.1,2003,KE2003DHS,ED_LITR_W_NCD,231233050,I,416002,1416040,EDLITRWNCD,KEDHS2003416002,DHS,1181,1314,1
Rift Valley,1451578,Women for whom no card with required language was available,0,2003,KE2003DHS,ED_LITR_W_NCD,231233050,I,416006,1416050,EDLITRWNCD,KEDHS2003416006,DHS,1872,1328,1
Western,6589859,Women for whom no card with required language was available,0,2003,KE2003DHS,ED_LITR_W_NCD,231233050,I,416007,1416070,EDLITRWNCD,KEDHS2003416007,DHS,927,991,1
Nyanza,3751924,Women for whom no card with required language was available,0,2003,KE2003DHS,ED_LITR_W_NCD,231233050,I,416005,1416080,EDLITRWNCD,KEDHS2003416005,DHS,1222,1025,1
Nairobi,6673318,Women for whom no card with required language was available,0,2003,KE2003DHS,ED_LITR_W_NCD,231233050,I,416001,1416090,EDLITRWNCD,KEDHS2003416001,DHS,835,1169,1
Coast,4667026,Women with missing information on literacy,0.1,2003,KE2003DHS,ED_LITR_W_MIS,231233070,S,416003,1416010,EDLITRWMIS,KEDHS2003416003,DHS,667,938,1
North Eastern,5385283,Women with missing information on literacy,0,2003,KE2003DHS,ED_LITR_W_MIS,231233070,S,416008,1416020,EDLITRWMIS,KEDHS2003416008,DHS,168,437,1
Eastern,7236892,Women with missing information on literacy,0.5,2003,KE2003DHS,ED_LITR_W_MIS,231233070,S,416004,1416030,EDLITRWMIS,KEDHS2003416004,DHS,1325,993,1
Central,6493888,Women with missing information on literacy,0,2003,KE2003DHS,ED_LITR_W_MIS,231233070,S,416002,1416040,EDLITRWMIS,KEDHS2003416002,DHS,1181,1314,1
Rift Valley,1451580,Women with missing information on literacy,0.2,2003,KE2003DHS,ED_LITR_W_MIS,231233070,S,416006,1416050,EDLITRWMIS,KEDHS2003416006,DHS,1872,1328,1
Western,6589860,Women with missing information on literacy,0.1,2003,KE2003DHS,ED_LITR_W_MIS,231233070,S,416007,1416070,EDLITRWMIS,KEDHS2003416007,DHS,927,991,1
Nyanza,3751925,Women with missing information on literacy,0.5,2003,KE2003DHS,ED_LITR_W_MIS,231233070,S,416005,1416080,EDLITRWMIS,KEDHS2003416005,DHS,1222,1025,1
Nairobi,6673319,Women with missing information on literacy,0.3,2003,KE2003DHS,ED_LITR_W_MIS,231233070,S,416001,1416090,EDLITRWMIS,KEDHS2003416001,DHS,835,1169,1
Coast,4667027,Women's literacy: Total,100,2003,KE2003DHS,ED_LITR_W_TOT,231233080,T,416003,1416010,EDLITRWTOT,KEDHS2003416003,DHS,667,938,1
North Eastern,5385280,Women's literacy: Total,100,2003,KE2003DHS,ED_LITR_W_TOT,231233080,T,416008,1416020,EDLITRWTOT,KEDHS2003416008,DHS,168,437,1
Eastern,7236893,Women's literacy: Total,100,2003,KE2003DHS,ED_LITR_W_TOT,231233080,T,416004,1416030,EDLITRWTOT,KEDHS2003416004,DHS,1325,993,1
Central,6493885,Women's literacy: Total,100,2003,KE2003DHS,ED_LITR_W_TOT,231233080,T,416002,1416040,EDLITRWTOT,KEDHS2003416002,DHS,1181,1314,1
Rift Valley,1451585,Women's literacy: Total,100,2003,KE2003DHS,ED_LITR_W_TOT,231233080,T,416006,1416050,EDLITRWTOT,KEDHS2003416006,DHS,1872,1328,1
Western,6589857,Women's literacy: Total,100,2003,KE2003DHS,ED_LITR_W_TOT,231233080,T,416007,1416070,EDLITRWTOT,KEDHS2003416007,DHS,927,991,1
Nyanza,3751929,Women's literacy: Total,100,2003,KE2003DHS,ED_LITR_W_TOT,231233080,T,416005,1416080,EDLITRWTOT,KEDHS2003416005,DHS,1222,1025,1
Nairobi,6673316,Women's literacy: Total,100,2003,KE2003DHS,ED_LITR_W_TOT,231233080,T,416001,1416090,EDLITRWTOT,KEDHS2003416001,DHS,835,1169,1
Coast,4667036,Women who are literate,65.6,2003,KE2003DHS,ED_LITR_W_LIT,231233090,I,416003,1416010,EDLITRWLIT,KEDHS2003416003,DHS,667,938,1
North Eastern,5385281,Women who are literate,6.4,2003,KE2003DHS,ED_LITR_W_LIT,231233090,I,416008,1416020,EDLITRWLIT,KEDHS2003416008,DHS,168,437,1
Eastern,7236938,Women who are literate,81.6,2003,KE2003DHS,ED_LITR_W_LIT,231233090,I,416004,1416030,EDLITRWLIT,KEDHS2003416004,DHS,1325,993,1
Central,6493886,Women who are literate,91.1,2003,KE2003DHS,ED_LITR_W_LIT,231233090,I,416002,1416040,EDLITRWLIT,KEDHS2003416002,DHS,1181,1314,1
Rift Valley,1451586,Women who are literate,73.2,2003,KE2003DHS,ED_LITR_W_LIT,231233090,I,416006,1416050,EDLITRWLIT,KEDHS2003416006,DHS,1872,1328,1
Western,6589858,Women who are literate,77.4,2003,KE2003DHS,ED_LITR_W_LIT,231233090,I,416007,1416070,EDLITRWLIT,KEDHS2003416007,DHS,927,991,1
Nyanza,3751938,Women who are literate,79.8,2003,KE2003DHS,ED_LITR_W_LIT,231233090,I,416005,1416080,EDLITRWLIT,KEDHS2003416005,DHS,1222,1025,1
Nairobi,6673317,Women who are literate,91.8,2003,KE2003DHS,ED_LITR_W_LIT,231233090,I,416001,1416090,EDLITRWLIT,KEDHS2003416001,DHS,835,1169,1
Coast,5921297,Men with secondary or higher education,31.6,2003,KE2003DHS,ED_LITR_M_SCH,231234120,I,416003,1416010,EDLITRMSCH,KEDHS2003416003,DHS,234,347,1
North Eastern,5916365,Men with secondary or higher education,10.9,2003,KE2003DHS,ED_LITR_M_SCH,231234120,I,416008,1416020,EDLITRMSCH,KEDHS2003416008,DHS,57,145,1
Eastern,6433776,Men with secondary or higher education,30.5,2003,KE2003DHS,ED_LITR_M_SCH,231234120,I,416004,1416030,EDLITRMSCH,KEDHS2003416004,DHS,541,431,1
Central,1358850,Men with secondary or higher education,41.2,2003,KE2003DHS,ED_LITR_M_SCH,231234120,I,416002,1416040,EDLITRMSCH,KEDHS2003416002,DHS,515,579,1
Rift Valley,3938510,Men with secondary or higher education,32.7,2003,KE2003DHS,ED_LITR_M_SCH,231234120,I,416006,1416050,EDLITRMSCH,KEDHS2003416006,DHS,818,562,1
Western,5309090,Men with secondary or higher education,32.6,2003,KE2003DHS,ED_LITR_M_SCH,231234120,I,416007,1416070,EDLITRMSCH,KEDHS2003416007,DHS,378,416,1
Nyanza,6865205,Men with secondary or higher education,34.4,2003,KE2003DHS,ED_LITR_M_SCH,231234120,I,416005,1416080,EDLITRMSCH,KEDHS2003416005,DHS,443,403,1
Nairobi,1313712,Men with secondary or higher education,67.4,2003,KE2003DHS,ED_LITR_M_SCH,231234120,I,416001,1416090,EDLITRMSCH,KEDHS2003416001,DHS,376,465,1
Coast,5921299,Men who can read a whole sentence,53.7,2003,KE2003DHS,ED_LITR_M_RDW,231234130,I,416003,1416010,EDLITRMRDW,KEDHS2003416003,DHS,234,347,1
North Eastern,5916358,Men who can read a whole sentence,18.5,2003,KE2003DHS,ED_LITR_M_RDW,231234130,I,416008,1416020,EDLITRMRDW,KEDHS2003416008,DHS,57,145,1
Eastern,6433764,Men who can read a whole sentence,55.4,2003,KE2003DHS,ED_LITR_M_RDW,231234130,I,416004,1416030,EDLITRMRDW,KEDHS2003416004,DHS,541,431,1
Central,1358867,Men who can read a whole sentence,49.6,2003,KE2003DHS,ED_LITR_M_RDW,231234130,I,416002,1416040,EDLITRMRDW,KEDHS2003416002,DHS,515,579,1
Rift Valley,3938504,Men who can read a whole sentence,43.2,2003,KE2003DHS,ED_LITR_M_RDW,231234130,I,416006,1416050,EDLITRMRDW,KEDHS2003416006,DHS,818,562,1
Western,5309081,Men who can read a whole sentence,47.6,2003,KE2003DHS,ED_LITR_M_RDW,231234130,I,416007,1416070,EDLITRMRDW,KEDHS2003416007,DHS,378,416,1
Nyanza,6865200,Men who can read a whole sentence,50.8,2003,KE2003DHS,ED_LITR_M_RDW,231234130,I,416005,1416080,EDLITRMRDW,KEDHS2003416005,DHS,443,403,1
Nairobi,1313711,Men who can read a whole sentence,24.8,2003,KE2003DHS,ED_LITR_M_RDW,231234130,I,416001,1416090,EDLITRMRDW,KEDHS2003416001,DHS,376,465,1
Coast,5921298,Men who can read part of a sentence,4.5,2003,KE2003DHS,ED_LITR_M_RDP,231234140,I,416003,1416010,EDLITRMRDP,KEDHS2003416003,DHS,234,347,1
North Eastern,5916366,Men who can read part of a sentence,1.8,2003,KE2003DHS,ED_LITR_M_RDP,231234140,I,416008,1416020,EDLITRMRDP,KEDHS2003416008,DHS,57,145,1
Eastern,6433777,Men who can read part of a sentence,7.2,2003,KE2003DHS,ED_LITR_M_RDP,231234140,I,416004,1416030,EDLITRMRDP,KEDHS2003416004,DHS,541,431,1
Central,1358863,Men who can read part of a sentence,4.2,2003,KE2003DHS,ED_LITR_M_RDP,231234140,I,416002,1416040,EDLITRMRDP,KEDHS2003416002,DHS,515,579,1
Rift Valley,3938511,Men who can read part of a sentence,8.7,2003,KE2003DHS,ED_LITR_M_RDP,231234140,I,416006,1416050,EDLITRMRDP,KEDHS2003416006,DHS,818,562,1
Western,5309091,Men who can read part of a sentence,5.8,2003,KE2003DHS,ED_LITR_M_RDP,231234140,I,416007,1416070,EDLITRMRDP,KEDHS2003416007,DHS,378,416,1
Nyanza,6865208,Men who can read part of a sentence,4.4,2003,KE2003DHS,ED_LITR_M_RDP,231234140,I,416005,1416080,EDLITRMRDP,KEDHS2003416005,DHS,443,403,1
Nairobi,1313713,Men who can read part of a sentence,2,2003,KE2003DHS,ED_LITR_M_RDP,231234140,I,416001,1416090,EDLITRMRDP,KEDHS2003416001,DHS,376,465,1
Coast,5921300,Men who cannot read at all,10.2,2003,KE2003DHS,ED_LITR_M_NRD,231234150,I,416003,1416010,EDLITRMNRD,KEDHS2003416003,DHS,234,347,1
North Eastern,5916359,Men who cannot read at all,68.8,2003,KE2003DHS,ED_LITR_M_NRD,231234150,I,416008,1416020,EDLITRMNRD,KEDHS2003416008,DHS,57,145,1
Eastern,6433765,Men who cannot read at all,6.9,2003,KE2003DHS,ED_LITR_M_NRD,231234150,I,416004,1416030,EDLITRMNRD,KEDHS2003416004,DHS,541,431,1
Central,1358868,Men who cannot read at all,5,2003,KE2003DHS,ED_LITR_M_NRD,231234150,I,416002,1416040,EDLITRMNRD,KEDHS2003416002,DHS,515,579,1
Rift Valley,3938505,Men who cannot read at all,15.1,2003,KE2003DHS,ED_LITR_M_NRD,231234150,I,416006,1416050,EDLITRMNRD,KEDHS2003416006,DHS,818,562,1
Western,5309088,Men who cannot read at all,13.7,2003,KE2003DHS,ED_LITR_M_NRD,231234150,I,416007,1416070,EDLITRMNRD,KEDHS2003416007,DHS,378,416,1
Nyanza,6865201,Men who cannot read at all,10.2,2003,KE2003DHS,ED_LITR_M_NRD,231234150,I,416005,1416080,EDLITRMNRD,KEDHS2003416005,DHS,443,403,1
Nairobi,1313716,Men who cannot read at all,5.8,2003,KE2003DHS,ED_LITR_M_NRD,231234150,I,416001,1416090,EDLITRMNRD,KEDHS2003416001,DHS,376,465,1
Coast,5921308,Men for whom no card with required language was available,0,2003,KE2003DHS,ED_LITR_M_NCD,231234160,I,416003,1416010,EDLITRMNCD,KEDHS2003416003,DHS,234,347,1
North Eastern,5916361,Men for whom no card with required language was available,0,2003,KE2003DHS,ED_LITR_M_NCD,231234160,I,416008,1416020,EDLITRMNCD,KEDHS2003416008,DHS,57,145,1
Eastern,6433766,Men for whom no card with required language was available,0,2003,KE2003DHS,ED_LITR_M_NCD,231234160,I,416004,1416030,EDLITRMNCD,KEDHS2003416004,DHS,541,431,1
Central,1358864,Men for whom no card with required language was available,0,2003,KE2003DHS,ED_LITR_M_NCD,231234160,I,416002,1416040,EDLITRMNCD,KEDHS2003416002,DHS,515,579,1
Rift Valley,3938507,Men for whom no card with required language was available,0.2,2003,KE2003DHS,ED_LITR_M_NCD,231234160,I,416006,1416050,EDLITRMNCD,KEDHS2003416006,DHS,818,562,1
Western,5308939,Men for whom no card with required language was available,0,2003,KE2003DHS,ED_LITR_M_NCD,231234160,I,416007,1416070,EDLITRMNCD,KEDHS2003416007,DHS,378,416,1
Nyanza,6865199,Men for whom no card with required language was available,0,2003,KE2003DHS,ED_LITR_M_NCD,231234160,I,416005,1416080,EDLITRMNCD,KEDHS2003416005,DHS,443,403,1
Nairobi,1313714,Men for whom no card with required language was available,0,2003,KE2003DHS,ED_LITR_M_NCD,231234160,I,416001,1416090,EDLITRMNCD,KEDHS2003416001,DHS,376,465,1
Coast,5921309,Men with missing information on literacy,0,2003,KE2003DHS,ED_LITR_M_MIS,231234180,S,416003,1416010,EDLITRMMIS,KEDHS2003416003,DHS,234,347,1
North Eastern,5916362,Men with missing information on literacy,0,2003,KE2003DHS,ED_LITR_M_MIS,231234180,S,416008,1416020,EDLITRMMIS,KEDHS2003416008,DHS,57,145,1
Eastern,6433767,Men with missing information on literacy,0,2003,KE2003DHS,ED_LITR_M_MIS,231234180,S,416004,1416030,EDLITRMMIS,KEDHS2003416004,DHS,541,431,1
Central,1358865,Men with missing information on literacy,0,2003,KE2003DHS,ED_LITR_M_MIS,231234180,S,416002,1416040,EDLITRMMIS,KEDHS2003416002,DHS,515,579,1
Rift Valley,3938508,Men with missing information on literacy,0.1,2003,KE2003DHS,ED_LITR_M_MIS,231234180,S,416006,1416050,EDLITRMMIS,KEDHS2003416006,DHS,818,562,1
Western,5309079,Men with missing information on literacy,0.2,2003,KE2003DHS,ED_LITR_M_MIS,231234180,S,416007,1416070,EDLITRMMIS,KEDHS2003416007,DHS,378,416,1
Nyanza,6865203,Men with missing information on literacy,0.2,2003,KE2003DHS,ED_LITR_M_MIS,231234180,S,416005,1416080,EDLITRMMIS,KEDHS2003416005,DHS,443,403,1
Nairobi,1313715,Men with missing information on literacy,0,2003,KE2003DHS,ED_LITR_M_MIS,231234180,S,416001,1416090,EDLITRMMIS,KEDHS2003416001,DHS,376,465,1
Coast,5921310,Men's literacy: Total,100,2003,KE2003DHS,ED_LITR_M_TOT,231234190,T,416003,1416010,EDLITRMTOT,KEDHS2003416003,DHS,234,347,1
North Eastern,5916364,Men's literacy: Total,100,2003,KE2003DHS,ED_LITR_M_TOT,231234190,T,416008,1416020,EDLITRMTOT,KEDHS2003416008,DHS,57,145,1
Eastern,6433768,Men's literacy: Total,100,2003,KE2003DHS,ED_LITR_M_TOT,231234190,T,416004,1416030,EDLITRMTOT,KEDHS2003416004,DHS,541,431,1
Central,1358866,Men's literacy: Total,100,2003,KE2003DHS,ED_LITR_M_TOT,231234190,T,416002,1416040,EDLITRMTOT,KEDHS2003416002,DHS,515,579,1
Rift Valley,3938509,Men's literacy: Total,100,2003,KE2003DHS,ED_LITR_M_TOT,231234190,T,416006,1416050,EDLITRMTOT,KEDHS2003416006,DHS,818,562,1
Western,5309080,Men's literacy: Total,100,2003,KE2003DHS,ED_LITR_M_TOT,231234190,T,416007,1416070,EDLITRMTOT,KEDHS2003416007,DHS,378,416,1
Nyanza,6865204,Men's literacy: Total,100,2003,KE2003DHS,ED_LITR_M_TOT,231234190,T,416005,1416080,EDLITRMTOT,KEDHS2003416005,DHS,443,403,1
Nairobi,1313718,Men's literacy: Total,100,2003,KE2003DHS,ED_LITR_M_TOT,231234190,T,416001,1416090,EDLITRMTOT,KEDHS2003416001,DHS,376,465,1
Coast,5921307,Men who are literate,89.8,2003,KE2003DHS,ED_LITR_M_LIT,231234200,I,416003,1416010,EDLITRMLIT,KEDHS2003416003,DHS,234,347,1
North Eastern,5916360,Men who are literate,31.2,2003,KE2003DHS,ED_LITR_M_LIT,231234200,I,416008,1416020,EDLITRMLIT,KEDHS2003416008,DHS,57,145,1
Eastern,6433769,Men who are literate,93.1,2003,KE2003DHS,ED_LITR_M_LIT,231234200,I,416004,1416030,EDLITRMLIT,KEDHS2003416004,DHS,541,431,1
Central,1358904,Men who are literate,95,2003,KE2003DHS,ED_LITR_M_LIT,231234200,I,416002,1416040,EDLITRMLIT,KEDHS2003416002,DHS,515,579,1
Rift Valley,3938506,Men who are literate,84.6,2003,KE2003DHS,ED_LITR_M_LIT,231234200,I,416006,1416050,EDLITRMLIT,KEDHS2003416006,DHS,818,562,1
Western,5309089,Men who are literate,86.1,2003,KE2003DHS,ED_LITR_M_LIT,231234200,I,416007,1416070,EDLITRMLIT,KEDHS2003416007,DHS,378,416,1
Nyanza,6865202,Men who are literate,89.6,2003,KE2003DHS,ED_LITR_M_LIT,231234200,I,416005,1416080,EDLITRMLIT,KEDHS2003416005,DHS,443,403,1
Nairobi,1313717,Men who are literate,94.2,2003,KE2003DHS,ED_LITR_M_LIT,231234200,I,416001,1416090,EDLITRMLIT,KEDHS2003416001,DHS,376,465,1
Coast,6331467,Women with secondary or higher education,28.4,2008,KE2008DHS,ED_LITR_W_SCH,231233010,I,416003,1416010,EDLITRWSCH,KEDHS2008416003,DHS,674,1149,1
North Eastern,4561395,Women with secondary or higher education,8.2,2008,KE2008DHS,ED_LITR_W_SCH,231233010,I,416008,1416020,EDLITRWSCH,KEDHS2008416008,DHS,184,608,1
Eastern,6846319,Women with secondary or higher education,28.4,2008,KE2008DHS,ED_LITR_W_SCH,231233010,I,416004,1416030,EDLITRWSCH,KEDHS2008416004,DHS,1376,1127,1
Central,6422317,Women with secondary or higher education,41.4,2008,KE2008DHS,ED_LITR_W_SCH,231233010,I,416002,1416040,EDLITRWSCH,KEDHS2008416002,DHS,905,973,1
Rift Valley,1670642,Women with secondary or higher education,31.2,2008,KE2008DHS,ED_LITR_W_SCH,231233010,I,416006,1416050,EDLITRWSCH,KEDHS2008416006,DHS,2262,1278,1
Western,2349312,Women with secondary or higher education,28,2008,KE2008DHS,ED_LITR_W_SCH,231233010,I,416007,1416070,EDLITRWSCH,KEDHS2008416007,DHS,927,1039,1
Nyanza,2888080,Women with secondary or higher education,33.2,2008,KE2008DHS,ED_LITR_W_SCH,231233010,I,416005,1416080,EDLITRWSCH,KEDHS2008416005,DHS,1389,1318,1
Nairobi,4393962,Women with secondary or higher education,68.1,2008,KE2008DHS,ED_LITR_W_SCH,231233010,I,416001,1416090,EDLITRWSCH,KEDHS2008416001,DHS,728,952,1
Coast,6331468,Women who can read a whole sentence,38.7,2008,KE2008DHS,ED_LITR_W_RDW,231233020,I,416003,1416010,EDLITRWRDW,KEDHS2008416003,DHS,674,1149,1
North Eastern,4561396,Women who can read a whole sentence,9,2008,KE2008DHS,ED_LITR_W_RDW,231233020,I,416008,1416020,EDLITRWRDW,KEDHS2008416008,DHS,184,608,1
Eastern,6846325,Women who can read a whole sentence,51.1,2008,KE2008DHS,ED_LITR_W_RDW,231233020,I,416004,1416030,EDLITRWRDW,KEDHS2008416004,DHS,1376,1127,1
Central,6422320,Women who can read a whole sentence,44.8,2008,KE2008DHS,ED_LITR_W_RDW,231233020,I,416002,1416040,EDLITRWRDW,KEDHS2008416002,DHS,905,973,1
Rift Valley,1670643,Women who can read a whole sentence,34.5,2008,KE2008DHS,ED_LITR_W_RDW,231233020,I,416006,1416050,EDLITRWRDW,KEDHS2008416006,DHS,2262,1278,1
Western,2349313,Women who can read a whole sentence,38.6,2008,KE2008DHS,ED_LITR_W_RDW,231233020,I,416007,1416070,EDLITRWRDW,KEDHS2008416007,DHS,927,1039,1
Nyanza,2888081,Women who can read a whole sentence,45.1,2008,KE2008DHS,ED_LITR_W_RDW,231233020,I,416005,1416080,EDLITRWRDW,KEDHS2008416005,DHS,1389,1318,1
Nairobi,4393963,Women who can read a whole sentence,20.5,2008,KE2008DHS,ED_LITR_W_RDW,231233020,I,416001,1416090,EDLITRWRDW,KEDHS2008416001,DHS,728,952,1
Coast,6331472,Women who can read part of a sentence,5.2,2008,KE2008DHS,ED_LITR_W_RDP,231233030,I,416003,1416010,EDLITRWRDP,KEDHS2008416003,DHS,674,1149,1
North Eastern,4561397,Women who can read part of a sentence,4.1,2008,KE2008DHS,ED_LITR_W_RDP,231233030,I,416008,1416020,EDLITRWRDP,KEDHS2008416008,DHS,184,608,1
Eastern,6846326,Women who can read part of a sentence,7.5,2008,KE2008DHS,ED_LITR_W_RDP,231233030,I,416004,1416030,EDLITRWRDP,KEDHS2008416004,DHS,1376,1127,1
Central,6422351,Women who can read part of a sentence,9.1,2008,KE2008DHS,ED_LITR_W_RDP,231233030,I,416002,1416040,EDLITRWRDP,KEDHS2008416002,DHS,905,973,1
Rift Valley,1670644,Women who can read part of a sentence,16.4,2008,KE2008DHS,ED_LITR_W_RDP,231233030,I,416006,1416050,EDLITRWRDP,KEDHS2008416006,DHS,2262,1278,1
Western,2349314,Women who can read part of a sentence,17.8,2008,KE2008DHS,ED_LITR_W_RDP,231233030,I,416007,1416070,EDLITRWRDP,KEDHS2008416007,DHS,927,1039,1
Nyanza,2888082,Women who can read part of a sentence,11.5,2008,KE2008DHS,ED_LITR_W_RDP,231233030,I,416005,1416080,EDLITRWRDP,KEDHS2008416005,DHS,1389,1318,1
